course_run_key,reporting_type,announcement
course-v1:ColumbiaX+DS103x+2T2016,mooc,4/21/16
course-v1:ColumbiaX+FOE1x+2T2016,mooc,6/27/16
course-v1:ColumbiaX+GM1x+3T2016,mooc,1/13/17
course-v1:ColumbiaX+HIST1.1x+3T2015,mooc,8/26/15
course-v1:ColumbiaX+HIST1.2x+3T2015,mooc,9/24/15
course-v1:ColumbiaX+HIST1.3x+1T2016,mooc,9/24/15
course-v1:ColumbiaX+INNOVATE1x+1T2017,mooc,
course-v1:CooperUnion+Chem.1x+2T2016,mooc,6/28/16
course-v1:CooperUnion+Chem.1x+3T2015,mooc,12/23/15
course-v1:CooperUnion+Chem.2x+2T2016,mooc,6/28/16
course-v1:CooperUnion+Chem.2x+3T2015,mooc,12/23/15
course-v1:CornellX_UQx+BIOEE101x+2T2016,mooc,2/12/16
course-v1:CornellX+ENGR2000X+1T2017,mooc,12/19/16
course-v1:CornellX+ENGR2000X+2T2016,mooc,2/12/16
course-v1:CornellX+ENGRI1210x+2T2016,mooc,5/11/16
course-v1:CornellX+ENVSCI1500x+1T2016,mooc,2/22/16
course-v1:CornellX+GMO101x+3T2016,mooc,6/2/16
course-v1:CornellX+GMO101x+T12017,mooc,1/5/17
course-v1:CornellX+HIST1514x+1T2015,mooc,2/3/15
course-v1:CornellX+HOSP.101x_1+1T2016,mooc,10/6/15
course-v1:CornellX+INFO2040x+1T2016,mooc,1/20/16
course-v1:CurtinX+DBAEx+3T2015,mooc,8/25/15
course-v1:CurtinX+EDU1x+3T2016,mooc,9/6/16
course-v1:CurtinX+ENV1x+2T2016,mooc,5/27/16
course-v1:CurtinX+HRIG1x+1T2017,mooc,9/20/16
course-v1:CurtinX+HRIG2x+1T2017,mooc,9/20/16
course-v1:CurtinX+HRIG3x+2T2017,mooc,9/20/16
course-v1:CurtinX+MKT1x+1T2016,mooc,1/27/16
course-v1:CurtinX+MKT1x+1T2017,mooc,11/14/16
course-v1:CurtinX+MKT1x+3T2016,mooc,6/13/16
course-v1:CurtinX+MKT2x+2T2016,mooc,3/11/16
course-v1:CurtinX+MKT2x+3T2016,mooc,7/25/16
course-v1:CurtinX+TBOMx+2T2015,mooc,6/1/15
course-v1:CurtinX+TBOMx+2T2016,mooc,6/14/16
course-v1:DartmouthX+DART.ENGL.01.x+2016_T1,mooc,10/30/15
course-v1:DartmouthX+DART.ENGS.01.X+2015_T2,mooc,1/30/15
course-v1:DartmouthX+DART.ENGS.02.X+2T2016,mooc,6/17/16
course-v1:DartmouthX+DART.ENVS.02X+2015_T1,mooc,4/30/15
course-v1:DartmouthX+DART.ICE.01X+1T2017,mooc,8/8/16
